argtaor;ARG;BanFer;;;La Banda - Fernández;arg.banfer;
argtaor;ARG;GueSalQui;;;Güemes - Salta - Campo Quijano;arg.guesalqui;
argtaor;ARG;ParBerMen;;;Paraná - Enrique Berduc - Jorge Méndez;arg.parbermen;
argtaor;ARG;PosEnc;;;Posadas - Encarnación;arg.posenc;
argtaor;ARG;ResCacAmo;;;Resistencia - Cacuí – Los Amores;arg.rescacamo;
argtaor;ARG;RosCanGom;;;Rosario - Cañada de Gómez;arg.roscangom;
argtaor;ARG;SaePenaCho;;;Sáenz Peña - Chorotis;arg.saepenacho;
argtaor;ARG;TrenSie;;;Tren de las Sierras;arg.trensie;
argtaor;ARG;TrenSie;;Alt;Tren de las Sierras (Alta Córdoba);arg.trensiealt;
argtaor;ARG;TrenVal;;;Tren del Valle;arg.trenval;
argtaor;ARG;VilMarCor;;;Villa María - Córdoba;arg.vilmarcor;
argtaor;PRY;PosEnc;;;Posadas - Encarnación;pry.posenc;
