argtaor;BanFer;;La Banda - Fernández;arg.banfer
argtaor;GueSalQui;;Güemes - Salta - Campo Quijano;arg.guesalqui
argtaor;ParBerMen;;Paraná - Enrique Berduc - Jorge Méndez;arg.parbermen
argtaor;PosEnc;;Posadas - Encarnación;arg.posenc,pry.posenc
argtaor;ResCacAmo;;Resistencia - Cacuí – Los Amores;arg.rescacamo
argtaor;RosCanGom;;Rosario - Cañada de Gómez;arg.roscangom
argtaor;SaePenaCho;;Sáenz Peña - Chorotis;arg.saepenacho
argtaor;TrenSie;;Tren de las Sierras;arg.trensie
argtaor;TrenSie;;Tren de las Sierras (Alta Córdoba);arg.trensiealt
argtaor;TrenVal;;Tren del Valle;arg.trenval
argtaor;VilMarCor;;Villa María - Córdoba;arg.vilmarcor
