systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnvsge;JPN;AbukumaExp;;;Abukuma Express RW Line;jpn.sgeabukumaexp;
jpnvsge;JPN;AizuLn;;;Aizu RW Line;jpn.sgeaizu;
jpnvsge;JPN;AkitaNairikuLn;;;Akita Nairiku RW Line;jpn.sgeakitanairiku;
jpnvsge;JPN;AoimoriLn;;;Aoimori RW Line;jpn.sgeaoimori;
jpnvsge;JPN;ChichibuLn;;;Chichibu RW Line;jpn.sgechichibu;
jpnvsge;JPN;ChokaiLn;;;Yuri Kogen RW Chokai Sanroku Line;jpn.sgechokai;
jpnvsge;JPN;ChoshiLn;;;Choshi RW Line;jpn.sgechoshi;
jpnvsge;JPN;FujikyukoLn;;;Fujikyu RW Fujikyuko Line;jpn.sgefujikyuko;
jpnvsge;JPN;HakoneTozanLn;;;Hakone Tozan RW Line;jpn.sgehakonetozan;
jpnvsge;JPN;HitaMinatoLn;;;Hitachinaka RW Minato Line;jpn.sgehitaminato;
jpnvsge;JPN;HokuhokuLn;;;Hokuetsu Express RW Hokuhoku Line;jpn.sgehokuhoku;
jpnvsge;JPN;IizakaLn;;;Iizaka RW Line;jpn.sgeiizaka;
jpnvsge;JPN;IsumiLn;;;Isumi RW Line;jpn.sgeisumi;
jpnvsge;JPN;IwateGalaxyLn;;;Iwate Galaxy RW Line;jpn.sgeiwateginga;
jpnvsge;JPN;IzukyukoLn;;;Izukyuko RW Line;jpn.sgeizukyuko;
jpnvsge;JPN;JomoLn;;;Jomo RW Line;jpn.sgejomo;
jpnvsge;JPN;JoshinLn;;;Joshin RW Line;jpn.sgejoshin;
jpnvsge;JPN;KamikochiLn;;;Alpico Kotsu Kamikochi Line;jpn.sgekamikochi;
jpnvsge;JPN;KominatoLn;;;Kominato RW Line;jpn.sgekominato;
jpnvsge;JPN;MookaLn;;;Mooka RW Line;jpn.sgemooka;
jpnvsge;JPN;NaganoLn;;;Nagano RW Line;jpn.sgenagano;
jpnvsge;JPN;NagareyamaLn;;;Ryutetsu RW Nagareyama Line;jpn.sgenagareyama;
jpnvsge;JPN;OaraiKashimaLn;;;Kashima Rinkai RW Oarai Kashima Line;jpn.sgekashimaoarai;
jpnvsge;JPN;RiasLn;;;Sanriku RW Rias Line;jpn.sgerias;
jpnvsge;JPN;SendaiAirLn;;;Sendair Airport Access Line;jpn.sgesendaiair;
jpnvsge;JPN;ShibayamaLn;;;Shibayama RW Line;jpn.sgeshibayama;
jpnvsge;JPN;ToyoRapidLn;;;Toyo Rapid RW Line;jpn.sgetoyorapid;
jpnvsge;JPN;TsugaruLnAom;;;Tsugaru RW Line;jpn.sgetsugaru;
jpnvsge;JPN;TsukubaExpress;;;Tsukuba Express;jpn.sgetsukubaex;
jpnvsge;JPN;WataraseLn;;;Watarase Keikoku RW Line;jpn.sgewatarase;
jpnvsge;JPN;AizuKinugawaLn;;;Yagan RW Aizu Kinugawa Line;jpn.sgeaizukinugawa;
jpnvsge;JPN;FlowerNagaiLn;;;Yamagata RW Flower Nagai Line;jpn.sgeflowernagai;
jpnvsge;JPN;RinkaiLn;;;TWR Rinkai Line;jpn.tkwrinkai;
jpnvsge;JPN;SaitamaRapidLn;;;Saitama Rapid Railway Line;jpn.srrsaitama;
