date;region;route;root;description
2025-09-02;(United States) Alabama;Mardi Gras;al.mg;New Line
2025-09-02;(United States) Mississippi;Mardi Gras;ms.mg;New Line
2025-09-02;(United States) Louisiana;Mardi Gras;la.mg;New Line
2025-03-24;(United States) Massachusetts;Fall River Line;ma.fallrivln;New Line
2025-03-24;(United States) Massachusetts;New Bedford Line;ma.newbedln;New Line
2025-03-24;(United States) Massachusetts;Middleborough/Lakeville Line;;Route Deleted, service superseded by new Fall River and New Bedford Lines except for short bit at southern end which is now only served by CapeFLYER.
2025-01-19;(Canada) Ontario;O-Train Line 4;on.ot4;New line (opened 2025-01-06)
2025-01-19;(Canada) Ontario;O-Train Line 2;on.ot2;New line (opened 2025-01-06)
2025-01-19;(Canada) Ontario;O-Train Line 1;on.ot1;Renamed from ConLn (Confederation Line)
2024-12-05;United States;Amtrak Floridian;;Replaced Capitol Limited and majority of Silver Star
2025-06-07;(United States) Aruzona;B Line;az.b;New Route, replaces northern half of old VMR route with extensions.
2025-06-07;(United States) Arizona;A Line;az.a;Route truncated to Downtown Phoenix Hub in conjunction with opening of new B Line
2025-06-07;(United States) Arizona;VMR;az.a;Renamed as A Line.
2025-06-06;(United States) California;K Line (El Segundo);;Route deleted, merged into main segment
2025-06-06;(United States) California;K (Crenshaw/LAX) Line;ca.k;Route extended to include El Segundo K Line segment via new construction near LAX
2024-11-04;(United States) California;C (Green) Line;ca.c;Rerouted west of Aviation/LAX to new Aviation/Century station, no longer serves Mariposa through Redondo Beach
2024-11-04;(United States) California;K Line (El Segundo);ca.kels;Route added, replaces section of rerouted C (Green) Line from west of Aviation/LAX to Redondo Beach
2025-10-29;(United States) Texas;Silver Line;tx.silln;Route added
2024-09-30;(Australia) New South Wales;T3 Bankstown Line (Liverpool branch);ausnsw.t3;Route removed from Bankstown Line and relocated onto Inner West Line between Sefton and Redfern. Route renamed 'Liverpool & Inner West Line'.
2024-09-30;(Australia) New South Wales;T3 Bankstown Line (Bankstown branch);;Route deleted
2024-09-30;(Australia) New South Wales;T6 Lidcombe & Bankstown Line;ausnsw.t6;Route added
2024-08-19;(Australia) New South Wales;M1 (Metro North West & Bankstown Line);ausnsw.m1;Route extended at south end from Chatswood to Sydenham
2024-08-19;(Australia) New South Wales;L4 (Westmead & Carlingford Line);ausnsw.l4;Route added
2024-06-24;(France) Ile-de-France;M14;fraidf.m14;Route extended at north end from Mairie de Saint-Ouen to Saint-Denis Pleyel and at south end from Olympiades to Aeroport d'Orly
2024-06-13;(France) Ile-de-France;M11;fraidf.m11;Route extended at east end from Mairie des Lilas to Rosny-Bois-Perrier
2024-05-06;(France) Ile-de-France;RER E (Tournan branch);fraidf.e;Route extended at west end from Haussmann Saint-Lazare to Nanterre La Folie
2024-05-06;(France) Ile-de-France;RER E (Chelles-Gournay branch);fraidf.eche;Route extended at west end from Haussmann Saint-Lazare to Nanterre La Folie
